avatarfull,competitive_rank,is_contributor,last_login,leaderboard_rank,loccountrycode,mmr_estimate,name,personaname,profileurl,solo_competitive_rank,steam_id
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/fe/fe80db69bf3b6155822aec08dc18161a69c19918_full.jpg,4819.0,False,,434.0,CN,6290,,222,https://steamcommunity.com/profiles/76561198106165429/,6581.0,145899701
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/57/5762dc2c74d173b7f940f2a422fa61f5f897c195_full.jpg,4194.0,False,,683.0,,5489,,Aloha Heja He,https://steamcommunity.com/id/1227701520/,6313.0,355985353
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/fa/faa53f367672a1932891538a7d0ba18502fe0334_full.jpg,4246.0,False,,658.0,AU,5798,,city of stars,https://steamcommunity.com/profiles/76561198090263429/,5610.0,129997701
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/52/5256e4e7fe14a7f8c39b23f36c5a0964dcddec0e_full.jpg,4230.0,False,,741.0,CN,5332,,剑阶光炮,https://steamcommunity.com/profiles/76561198313009966/,5697.0,352744238
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/58/580f99dee806a5d43bf8e8408b31f2e959141bd9_full.jpg,5529.0,False,,40.0,CN,6145,,55%,https://steamcommunity.com/profiles/76561198090114179/,6581.0,129848451
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/7b/7b6203b74713c4c69e2e3cb24038ad6c92337573_full.jpg,5068.0,False,,146.0,US,6477,,Gravelord,https://steamcommunity.com/id/mycoonly/,6418.0,171337923
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/ba/ba0c4a1965e40b24791d46daba50e61d0ce9e8a8_full.jpg,3748.0,False,,541.0,,6804,,小卷,https://steamcommunity.com/profiles/76561198113181681/,7915.0,152915953
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/33/33d5e31c96f5423bce59ff8ec435fe31b83048bc_full.jpg,,False,,14.0,,6848,,钟,https://steamcommunity.com/id/chaoyuedota/,8183.0,129748056
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/47/475d323244bc42ab9f2ef7bdfe4805d0992d4bdc_full.jpg,3909.0,False,,884.0,,5977,,123,https://steamcommunity.com/profiles/76561198119500979/,6979.0,159235251
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/d5/d53a7705137c434b0fddf2489d85c0f0f27e117a_full.jpg,,False,,449.0,,5991,,One,https://steamcommunity.com/profiles/76561198820721252/,,860455524
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/4c/4ca83820cec6cf6e9afbc0a916f921c810d3911a_full.jpg,,False,,240.0,MY,6778,343,a,https://steamcommunity.com/id/343DotA/,6254.0,111034589
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/cb/cb5fd6bbd9b1ecaf3abc97b63a64f0cdb780616c_full.jpg,4194.0,False,,598.0,,5144,,涂山蓝蓝,https://steamcommunity.com/profiles/76561198143636731/,5086.0,183371003
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/f5/f5f2b71e4c198929b11176a7427d6a98f587ad0a_full.jpg,4910.0,False,,1352.0,,5415,,Fanzz,https://steamcommunity.com/profiles/76561198088687241/,5505.0,128421513
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/94/946f4bf2782b2cfc801eca1eedd925f8a93c6338_full.jpg,,False,,294.0,,6252,方云华,@ddict,https://steamcommunity.com/profiles/76561198096453274/,,136187546
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/59/59ce92b5a8abcbe1d73698da99afdddf9aa9483e_full.jpg,5023.0,False,,113.0,CN,6748,,Myth,https://steamcommunity.com/profiles/76561198099297052/,7181.0,139031324
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/27/274ad47765c16181d475a7e7f599f6afd442d5e4_full.jpg,,False,,512.0,CN,6371,S,S,https://steamcommunity.com/id/173880329/,,173880329
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/ad/ada567f68acdbd9454b627478ab241f225e5a2ea_full.jpg,5612.0,False,,215.0,JP,6709,,普通人,https://steamcommunity.com/id/nameless1014/,7419.0,151181525
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/2c/2c879a22e4e6ea76f754aef13c487974b273c566_full.jpg,,False,,43.0,CN,6098,,Aq,https://steamcommunity.com/id/148375029/,5467.0,196493853
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/ed/ede0afc090662c09438b668b78c1bdf53a42d6de_full.jpg,5333.0,False,,606.0,CN,5800,,老公快射里面,https://steamcommunity.com/profiles/76561198159278656/,6533.0,199012928
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/52/52b8a63082a482d6e80ec0be3cbc7a1d400d5a83_full.jpg,5251.0,False,,177.0,,5418,heyun,douyu.满意645026,https://steamcommunity.com/id/gamecumt13/,7470.0,103296177
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/17/17abba8a32818a6422102e2f0a1852d83d815f74_full.jpg,,False,,599.0,,5905,,圣堂小牛,https://steamcommunity.com/profiles/76561198103417513/,5683.0,143151785
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/8a/8a8668b2a08cfb49674ae816006c014bd170ce0a_full.jpg,5062.0,False,,554.0,,6150,,falling u,https://steamcommunity.com/profiles/76561198102184987/,6008.0,141919259
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/6b/6b8c4cc841e6e2287c9960436123ffa1f2b64c77_full.jpg,4924.0,False,,848.0,,6025,,故事的小黄花,https://steamcommunity.com/profiles/76561198081306018/,6000.0,121040290
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/b5/b5f8ed9c270583e4510c4d781e00bac93cc7c67d_full.jpg,3916.0,False,,384.0,CN,6527,,idfk,https://steamcommunity.com/profiles/76561198199691482/,6707.0,239425754
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/a5/a542b27a47d851db9ba5c35016689b08432dca9a_full.jpg,,False,,298.0,,6276,知道了啦,好了好了,https://steamcommunity.com/profiles/76561198096365532/,7195.0,136099804
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/1e/1e12d5cd41211e41b502dadc820c9d995c46b265_full.jpg,5203.0,False,,72.0,,6091,,StarLucK大头儿子,https://steamcommunity.com/profiles/76561198078392882/,5267.0,118127154
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/17/17c5dc10dc0a44dd844fd70c29ab0c0d9c1af3f6_full.jpg,,False,,130.0,CN,6755,,only pos 24！！！,https://steamcommunity.com/id/lyh1130/,7515.0,103354522
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/b0/b0c2e900c3e8acee96c9d40c3afc47110bf718c2_full.jpg,,False,,472.0,CN,6138,,GAKKI是我的,https://steamcommunity.com/profiles/76561198096776090/,5850.0,136510362
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/d3/d3685827c7cc2343d1f579f447dcc0dcec3d3b58_full.jpg,4702.0,False,,436.0,,6467,,黑,https://steamcommunity.com/profiles/76561198113301433/,7420.0,153035705
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/10/108c18fb7ee35dfeb0c53bb8f5c4453859955247_full.jpg,,False,,573.0,CN,5159,,AtLantiS,https://steamcommunity.com/profiles/76561198351855392/,5002.0,391589664
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/b8/b881c7b6dc2596dc6eafb6a066c05f15d8e491eb_full.jpg,,False,2017-08-28T14:47:29.309Z,235.0,CN,6344,,小刘,https://steamcommunity.com/id/dantengwujie/,7454.0,101678979
https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/16/16ea384fdf6473ef2adbee4ac9f39bb578d7bea9_full.jpg,5177.0,False,,1099.0,,5780,,七羽,https://steamcommunity.com/profiles/76561198100327408/,5506.0,140061680
